,Alginate/AAm Hydrogel,,,Hydrogel Adhesive Film,
,2083.333333,270,,12583.33333,544
,2104.166667,275,,12645.83333,547.5
,2145.833333,280,,12645.83333,547.5
,2145.833333,280,,12604.16667,545
,2166.666667,283,,12625,546
,2145.833333,280,,13395.83333,652.3
,2145.833333,280,,13270.83333,637
,2125,273,,14458.33333,785.4
,2104.166667,275,,0,800
,2083.333333,270,,0,820
,2083.333333,270,,,
,2104.166667,275,,,
,2125,273,,,
,2145.833333,280,,,
,2187.5,286,,,
,2208.333333,290,,,
,2208.333333,290,,,
,2208.333333,290,,,
,2229.166667,293.75,,,
,2250,295,,,
,2229.166667,293.75,,,
,2229.166667,293.75,,,
,2229.166667,293.75,,,
,2229.166667,293.75,,,
,2250,295,,,
,2229.166667,293.75,,,
,2250,295,,,
,2229.166667,293.75,,,
,2270.833333,300,,,
,2270.833333,305,,,
,2291.666667,309,,,
,2312.5,310,,,
,2312.5,310,,,
,2333.333333,314,,,
,2333.333333,314,,,
,2354.166667,315,,,
,2395.833333,320,,,
,2395.833333,320,,,
,2416.666667,325,,,
,2416.666667,325,,,
,2416.666667,325,,,
,2458.333333,329,,,
,2458.333333,329,,,
,2437.5,327,,,
,2479.166667,330,,,
,2479.166667,330,,,
,2500,332,,,
,2500,332,,,
,2500,332,,,
,2479.166667,330,,,
,2458.333333,329,,,
,2479.166667,330,,,
,2479.166667,330,,,
,2479.166667,330,,,
,2520.833333,345,,,
,2541.666667,350,,,
,2541.666667,350,,,
,2541.666667,350,,,
,2541.666667,350,,,
,2520.833333,345,,,
,2520.833333,345,,,
,2520.833333,345,,,
,2520.833333,345,,,
,2520.833333,345,,,
,2520.833333,345,,,
,2541.666667,350,,,
,2541.666667,350,,,
,2583.333333,355,,,
,2604.166667,359,,,
,2604.166667,359,,,
,2645.833333,361,,,
,2645.833333,361,,,
,2666.666667,366,,,
,2687.5,369,,,
,2687.5,369,,,
,2708.333333,371,,,
,2708.333333,371,,,
,2708.333333,371,,,
,2729.166667,372.9,,,
,2729.166667,372.9,,,
,2750,375,,,
,2729.166667,372.9,,,
,2750,375,,,
,2750,375,,,
,2770.833333,380,,,
,2770.833333,380,,,
,2812.5,385,,,
,2812.5,385,,,
,2833.333333,394,,,
,2833.333333,394,,,
,2833.333333,394,,,
,2833.333333,394,,,
,2812.5,385,,,
,2812.5,385,,,
,2833.333333,394,,,
,2833.333333,394,,,
,2833.333333,394,,,
,2875,418,,,
,2875,418,,,
,2854.166667,398,,,
,2895.833333,420,,,
,2875,418,,,
,2895.833333,420,,,
,2916.666667,423,,,
,2916.666667,423,,,
,2916.666667,423,,,
,2937.5,425.4,,,
,2958.333333,427,,,
,2979.166667,428.9,,,
,3000,430,,,
,3000,430,,,
,3020.833333,431,,,
,3020.833333,431,,,
,3000,430,,,
,3020.833333,431,,,
,3020.833333,431,,,
,3041.666667,433,,,
,3062.5,435,,,
,3083.333333,436.1,,,
,3062.5,435,,,
,3104.166667,437.5,,,
,3104.166667,437.5,,,
,3125,438.1,,,
,3145.833333,441,,,
,3145.833333,441,,,
,3145.833333,441,,,
,3145.833333,441,,,
,3166.666667,446,,,
,3166.666667,446,,,
,3145.833333,441,,,
,3166.666667,446,,,
,3166.666667,446,,,
,3166.666667,446,,,
,3187.5,446,,,
,3229.166667,470,,,
,3250,471,,,
,3229.166667,470,,,
,3208.333333,456.25,,,
,3208.333333,456.25,,,
,3208.333333,456.25,,,
,3208.333333,456.25,,,
,3229.166667,470,,,
,3208.333333,456.25,,,
,3250,471,,,
,3291.666667,474,,,
,3291.666667,474,,,
,3333.333333,478,,,
,3333.333333,478,,,
,3354.166667,480,,,
,3354.166667,480,,,
,3395.833333,482,,,
,3416.666667,484.3,,,
,3437.5,486.7,,,
,3458.333333,491,,,
,3479.166667,495,,,
,3458.333333,491,,,
,3458.333333,491,,,
,3458.333333,491,,,
,3479.166667,495,,,
,3479.166667,495,,,
,3500,500,,,
,3520.833333,503,,,
,3562.5,501.2,,,
,3583.333333,502.1,,,
,3583.333333,502.1,,,
,3562.5,501.2,,,
,3604.166667,504,,,
,3604.166667,504,,,
,3625,505.89,,,
,3645.833333,506.3,,,
,3645.833333,506.3,,,
,3645.833333,506.3,,,
,3645.833333,506.3,,,
,3625,505.89,,,
,3666.666667,506.7,,,
,3666.666667,506.7,,,
,3708.333333,508.1,,,
,3687.5,507.1,,,
,3729.166667,514,,,
,3729.166667,514,,,
,3708.333333,512.5,,,
,3708.333333,512.5,,,
,3729.166667,514,,,
,3750,517,,,
,3770.833333,519.8,,,
,3770.833333,519.8,,,
,3791.666667,524,,,
,3791.666667,524,,,
,3833.333333,528,,,
,3791.666667,524,,,
,3791.666667,524,,,
,3812.5,526,,,
,3833.333333,529,,,
,3875,531,,,
,3875,531,,,
,3916.666667,534,,,
,3895.833333,533,,,
,3937.5,536,,,
,3916.666667,534,,,
,3916.666667,534,,,
,3958.333333,537.5,,,
,3937.5,536,,,
,3937.5,536,,,
,3916.666667,534,,,
,3916.666667,534,,,
,3916.666667,534,,,
,3875,531,,,
,3875,531,,,
,3895.833333,533,,,
,3875,531,,,
,3895.833333,533,,,
,3916.666667,534,,,
,3979.166667,537,,,
,4020.833333,545,,,
,4020.833333,545,,,
,4020.833333,540,,,
,4062.5,556,,,
,4041.666667,548,,,
,4062.5,556,,,
,4020.833333,540,,,
,4020.833333,550,,,
,4020.833333,550,,,
,4062.5,556,,,
,4083.333333,558.3,,,
,4104.166667,561,,,
,4125,564,,,
,4145.833333,567,,,
,4145.833333,567,,,
,4145.833333,567,,,
,4145.833333,567,,,
,4166.666667,571,,,
,4166.666667,571,,,
,4187.5,574,,,
,4208.333333,576.25,,,
,0,580,,,
,0,587,,,
,0,597,,,
,0,600,,,
